39,0
39,1
39,1
0,1
0,1
0,2
0,2
1,2
1,2
1,3
1,3
2,3
2,3
2,4
2,4
3,4
3,4
3,5
3,5
4,5
4,5
4,6
4,6
5,6
5,6
5,7
5,7
6,7
6,7
6,8
6,8
7,8
7,8
7,9
7,9
8,9
9,9
9,9
9,8
9,7
9,6
9,5
9,5
8,5
8,5
8,4
8,4
7,4
7,4
7,3
7,3
6,3
6,3
6,2
6,2
5,2
5,2
5,1
5,1
4,1
4,1
4,0
4,0
3,0
3,0
3,39
3,39
2,39
2,39
2,38
2,38
1,38
1,38
1,37
1,37
0,37
0,37
0,36
0,36
39,36
39,36
39,35
39,35
38,35
38,35
38,34
38,34
37,34
37,34
37,33
37,32
37,31
37,30
37,29
37,29
36,29
35,29
34,29
34,29
34,28
34,28
33,28
33,28
33,27
33,27
32,27
32,27
32,26
32,26
31,26
30,26
30,26
30,27
30,28
30,29
30,30
30,30
29,30
29,30
29,31
29,31
28,31
28,31
28,32
28,32
27,32
27,32
27,33
27,33
26,33
26,33
26,34
26,34
25,34
25,34
25,35
25,35
24,35
24,35
24,36
24,36
23,36
23,36
23,37
23,37
22,37
22,37
22,38
22,38
21,38
21,38
21,39
21,39
20,39
20,39
20,0
20,0
19,0
19,0
19,1
19,1
18,1
18,1
18,2
18,2
17,2
17,2
17,3
17,3
16,3
16,3
16,4
16,5
16,5
17,5
18,5
19,5
20,5
21,5
21,5
21,6
21,7
21,8
21,8
22,8
22,8
22,9
22,9
23,9
24,9
25,9
26,9
27,9
28,9
28,9
28,8
28,8
29,8
29,8
29,7
29,7
30,7
30,7
30,6
30,6
31,6
31,6
31,5
31,5
32,5
32,5
32,4
32,4
33,4
34,4
35,4
36,4
37,4
38,4
39,4
39,4
39,3
39,2
39,2
0,2
0,2
0,1
0,1
1,1
1,1
1,0
1,0
2,0
2,0
2,39
2,39
3,39
3,39
3,38
3,38
4,38
4,38
4,37
4,37
5,37
5,37
5,36
5,36
6,36
6,36
6,35
6,35
7,35
7,35
7,34
7,34
8,34
9,34
10,34
10,34
10,33
10,33
11,33
11,33
11,32
11,32
12,32
